Year,CommonName,MigrationType,AnnualCount
2005,Common Yellowthroat,Short distance migrant,19
2005,Scarlet Tanager,Long distance migrant,1
2005,Summer Tanager,Long distance migrant,0
2005,Eastern Towhee,Short distance migrant,6
2005,Chipping Sparrow,Short distance migrant,0
2005,Field Sparrow,Short distance migrant,35
2005,Savannah Sparrow,Short distance migrant,0
2005,Northern Cardinal,Resident,77
2005,White-crowned Sparrow,Short distance migrant,4
2005,White-throated Sparrow,Short distance migrant,102
2005,Slate-colored Junco,Short distance migrant,8
2005,Baltimore Oriole,Long distance migrant,13
2005,Orchard Oriole,Long distance migrant,7
2006,Red-bellied Woodpecker,Resident,4
2006,Downy Woodpecker,Resident,15
2006,Hairy Woodpecker,Resident,3
2006,Yellow-shafted Flicker,Resident,8
2006,Pileated Woodpecker,Resident,1
2006,Blue-headed Vireo,Short distance migrant,1
2006,Philadelphia Vireo,Short distance migrant,1
2006,Red-eyed Vireo,Long distance migrant,6
2006,Warbling Vireo,Short distance migrant,4
2006,White-eyed Vireo,Short distance migrant,28
2006,Yellow-throated Vireo,Short distance migrant,0
2006,Carolina Chickadee,Resident,45
2006,Tufted Titmouse,Resident,0
2006,White-breasted Nuthatch,Resident,1
2006,Carolina Wren,Resident,14
2006,Golden-crowned Kinglet,Short distance migrant,14
2006,Ruby-crowned Kinglet,Short distance migrant,11
2006,Blue-gray Gnatcatcher,Short distance migrant,5
2006,Gray-cheeked Thrush,Long distance migrant,5
2006,Hermit Thrush,Short distance migrant,16
2006,Swainson's Thrush,Long distance migrant,44
2006,Wood Thrush,Long distance migrant,26
2006,Bay-breasted Warbler,Long distance migrant,1
2006,Black-and-white Warbler,Short distance migrant,4
2006,Blackburnian Warbler,Long distance migrant,2
2006,Blackpoll Warbler,Long distance migrant,0
2006,Black-throated Blue Warbler,Long distance migrant,1
2006,Black-throated Green Warbler,Long distance migrant,2
2006,Blue-winged Warbler,Long distance migrant,0
2006,Canada Warbler,Long distance migrant,9
2006,Cape May Warbler,Long distance migrant,0
2006,Cerulean Warbler,Long distance migrant,0
2006,Yellow-breasted Chat,Long distance migrant,2
2006,Chestnut-sided Warbler,Long distance migrant,2
2006,Connecticut Warbler,Long distance migrant,0
2006,Golden-winged Warbler,Long distance migrant,1
2006,Hooded Warbler,Long distance migrant,0
2006,Kentucky Warbler,Long distance migrant,1
2006,Magnolia Warbler,Long distance migrant,25
2006,Mourning Warbler,Long distance migrant,9
2006,Nashville Warbler,Long distance migrant,2
2006,Orange-crowned Warbler,Long distance migrant,1
2006,Ovenbird,Long distance migrant,23
2006,Western Palm Warbler,Long distance migrant,7
2006,Northern Parula,Long distance migrant,0
2006,Pine Warbler,Short distance migrant,1
2006,Prairie Warbler,Long distance migrant,6
2006,Prothonotary Warbler,Short distance migrant,0
2006,American Redstart,Long distance migrant,1
2006,Tennessee Warbler,Long distance migrant,16
2006,Wilson's Warbler,Long distance migrant,7
2006,Worm-eating Warbler,Long distance migrant,0
2006,Myrtle Warbler,Short distance migrant,34
2006,Yellow-throated Warbler,Short distance migrant,0
2006,Common Yellowthroat,Short distance migrant,13
2006,Scarlet Tanager,Long distance migrant,1
2006,Summer Tanager,Long distance migrant,0
2006,Eastern Towhee,Short distance migrant,8
2006,Chipping Sparrow,Short distance migrant,0
2006,Field Sparrow,Short distance migrant,29
2006,Savannah Sparrow,Short distance migrant,0
2006,Northern Cardinal,Resident,114
2006,White-crowned Sparrow,Short distance migrant,1
2006,White-throated Sparrow,Short distance migrant,104
2006,Slate-colored Junco,Short distance migrant,4
2006,Baltimore Oriole,Long distance migrant,21
2006,Orchard Oriole,Long distance migrant,11
2007,Red-bellied Woodpecker,Resident,1
2007,Downy Woodpecker,Resident,14
2007,Hairy Woodpecker,Resident,1
2007,Yellow-shafted Flicker,Resident,3
2007,Pileated Woodpecker,Resident,0
2007,Blue-headed Vireo,Short distance migrant,1
2007,Philadelphia Vireo,Short distance migrant,2
2007,Red-eyed Vireo,Long distance migrant,19
2007,Warbling Vireo,Short distance migrant,4
2007,White-eyed Vireo,Short distance migrant,12
2007,Yellow-throated Vireo,Short distance migrant,0
2007,Carolina Chickadee,Resident,17
2007,Tufted Titmouse,Resident,0
2007,White-breasted Nuthatch,Resident,0
2007,Carolina Wren,Resident,7
2007,Golden-crowned Kinglet,Short distance migrant,4
