Year,CommonName,MigrationType,AnnualCount
2013,Warbling Vireo,Short distance migrant,3
2013,White-eyed Vireo,Short distance migrant,3
2013,Yellow-throated Vireo,Short distance migrant,1
2013,Carolina Chickadee,Resident,20
2013,Tufted Titmouse,Resident,17
2013,White-breasted Nuthatch,Resident,1
2013,Carolina Wren,Resident,8
2013,Golden-crowned Kinglet,Short distance migrant,5
2013,Ruby-crowned Kinglet,Short distance migrant,13
2013,Blue-gray Gnatcatcher,Short distance migrant,1
2013,Gray-cheeked Thrush,Long distance migrant,15
2013,Hermit Thrush,Short distance migrant,12
2013,Swainson's Thrush,Long distance migrant,117
2013,Wood Thrush,Long distance migrant,10
2013,Bay-breasted Warbler,Long distance migrant,1
2013,Black-and-white Warbler,Short distance migrant,1
2013,Blackburnian Warbler,Long distance migrant,0
2013,Blackpoll Warbler,Long distance migrant,2
2013,Black-throated Blue Warbler,Long distance migrant,0
2013,Black-throated Green Warbler,Long distance migrant,0
2013,Blue-winged Warbler,Long distance migrant,0
2013,Canada Warbler,Long distance migrant,0
2013,Cape May Warbler,Long distance migrant,0
2013,Cerulean Warbler,Long distance migrant,0
2013,Yellow-breasted Chat,Long distance migrant,2
2013,Chestnut-sided Warbler,Long distance migrant,0
2013,Connecticut Warbler,Long distance migrant,1
2013,Golden-winged Warbler,Long distance migrant,0
2013,Hooded Warbler,Long distance migrant,1
2013,Kentucky Warbler,Long distance migrant,1
2013,Magnolia Warbler,Long distance migrant,6
2013,Mourning Warbler,Long distance migrant,1
2013,Nashville Warbler,Long distance migrant,5
2013,Orange-crowned Warbler,Long distance migrant,0
2013,Ovenbird,Long distance migrant,20
2013,Western Palm Warbler,Long distance migrant,0
2013,Northern Parula,Long distance migrant,1
2013,Pine Warbler,Short distance migrant,0
2013,Prairie Warbler,Long distance migrant,0
2013,Prothonotary Warbler,Short distance migrant,0
2013,American Redstart,Long distance migrant,4
2013,Tennessee Warbler,Long distance migrant,13
2013,Wilson's Warbler,Long distance migrant,4
2013,Worm-eating Warbler,Long distance migrant,0
2013,Myrtle Warbler,Short distance migrant,24
2013,Yellow-throated Warbler,Short distance migrant,1
2013,Common Yellowthroat,Short distance migrant,11
2013,Scarlet Tanager,Long distance migrant,0
2013,Summer Tanager,Long distance migrant,0
2013,Eastern Towhee,Short distance migrant,10
2013,Chipping Sparrow,Short distance migrant,0
2013,Field Sparrow,Short distance migrant,14
2013,Savannah Sparrow,Short distance migrant,0
2013,Northern Cardinal,Resident,58
2013,White-crowned Sparrow,Short distance migrant,0
2013,White-throated Sparrow,Short distance migrant,95
2013,Slate-colored Junco,Short distance migrant,10
2013,Baltimore Oriole,Long distance migrant,2
2013,Orchard Oriole,Long distance migrant,6
2014,Red-bellied Woodpecker,Resident,2
2014,Downy Woodpecker,Resident,6
2014,Hairy Woodpecker,Resident,1
2014,Yellow-shafted Flicker,Resident,2
2014,Pileated Woodpecker,Resident,1
2014,Blue-headed Vireo,Short distance migrant,0
2014,Philadelphia Vireo,Short distance migrant,0
2014,Red-eyed Vireo,Long distance migrant,2
2014,Warbling Vireo,Short distance migrant,4
2014,White-eyed Vireo,Short distance migrant,1
2014,Yellow-throated Vireo,Short distance migrant,0
2014,Carolina Chickadee,Resident,8
2014,Tufted Titmouse,Resident,19
2014,White-breasted Nuthatch,Resident,0
2014,Carolina Wren,Resident,11
2014,Golden-crowned Kinglet,Short distance migrant,5
2014,Ruby-crowned Kinglet,Short distance migrant,7
2014,Blue-gray Gnatcatcher,Short distance migrant,5
2014,Gray-cheeked Thrush,Long distance migrant,7
2014,Hermit Thrush,Short distance migrant,10
2014,Swainson's Thrush,Long distance migrant,84
2014,Wood Thrush,Long distance migrant,10
2014,Bay-breasted Warbler,Long distance migrant,5
2014,Black-and-white Warbler,Short distance migrant,3
2014,Blackburnian Warbler,Long distance migrant,0
2014,Blackpoll Warbler,Long distance migrant,2
2014,Black-throated Blue Warbler,Long distance migrant,0
2014,Black-throated Green Warbler,Long distance migrant,1
2014,Blue-winged Warbler,Long distance migrant,1
2014,Canada Warbler,Long distance migrant,5
2014,Cape May Warbler,Long distance migrant,1
2014,Cerulean Warbler,Long distance migrant,0
2014,Yellow-breasted Chat,Long distance migrant,0
2014,Chestnut-sided Warbler,Long distance migrant,2
2014,Connecticut Warbler,Long distance migrant,1
2014,Golden-winged Warbler,Long distance migrant,0
2014,Hooded Warbler,Long distance migrant,0
2014,Kentucky Warbler,Long distance migrant,2
2014,Magnolia Warbler,Long distance migrant,10
2014,Mourning Warbler,Long distance migrant,0
2014,Nashville Warbler,Long distance migrant,3
2014,Orange-crowned Warbler,Long distance migrant,2
2014,Ovenbird,Long distance migrant,22
2014,Western Palm Warbler,Long distance migrant,1
2014,Northern Parula,Long distance migrant,0
2014,Pine Warbler,Short distance migrant,0
2014,Prairie Warbler,Long distance migrant,0
2014,Prothonotary Warbler,Short distance migrant,0
2014,American Redstart,Long distance migrant,20
2014,Tennessee Warbler,Long distance migrant,10
2014,Wilson's Warbler,Long distance migrant,2
2014,Worm-eating Warbler,Long distance migrant,1
2014,Myrtle Warbler,Short distance migrant,8
2014,Yellow-throated Warbler,Short distance migrant,0
2014,Common Yellowthroat,Short distance migrant,6
2014,Scarlet Tanager,Long distance migrant,1
2014,Summer Tanager,Long distance migrant,0
2014,Eastern Towhee,Short distance migrant,7
2014,Chipping Sparrow,Short distance migrant,0
2014,Field Sparrow,Short distance migrant,6
2014,Savannah Sparrow,Short distance migrant,0
2014,Northern Cardinal,Resident,31
2014,White-crowned Sparrow,Short distance migrant,0
2014,White-throated Sparrow,Short distance migrant,65
2014,Slate-colored Junco,Short distance migrant,4
2014,Baltimore Oriole,Long distance migrant,6
2014,Orchard Oriole,Long distance migrant,6
2015,Red-bellied Woodpecker,Resident,2
2015,Downy Woodpecker,Resident,10
2015,Hairy Woodpecker,Resident,0
2015,Yellow-shafted Flicker,Resident,2
2015,Pileated Woodpecker,Resident,2
2015,Blue-headed Vireo,Short distance migrant,1
2015,Philadelphia Vireo,Short distance migrant,0
2015,Red-eyed Vireo,Long distance migrant,10
2015,Warbling Vireo,Short distance migrant,6
2015,White-eyed Vireo,Short distance migrant,4
2015,Yellow-throated Vireo,Short distance migrant,1
2015,Carolina Chickadee,Resident,22
2015,Tufted Titmouse,Resident,18
2015,White-breasted Nuthatch,Resident,3
2015,Carolina Wren,Resident,15
2015,Golden-crowned Kinglet,Short distance migrant,5
2015,Ruby-crowned Kinglet,Short distance migrant,9
2015,Blue-gray Gnatcatcher,Short distance migrant,1
2015,Gray-cheeked Thrush,Long distance migrant,8
2015,Hermit Thrush,Short distance migrant,17
2015,Swainson's Thrush,Long distance migrant,113
2015,Wood Thrush,Long distance migrant,25
2015,Bay-breasted Warbler,Long distance migrant,15
2015,Black-and-white Warbler,Short distance migrant,12
2015,Blackburnian Warbler,Long distance migrant,5
2015,Blackpoll Warbler,Long distance migrant,3
2015,Black-throated Blue Warbler,Long distance migrant,3
2015,Black-throated Green Warbler,Long distance migrant,3
2015,Blue-winged Warbler,Long distance migrant,0
2015,Canada Warbler,Long distance migrant,3
2015,Cape May Warbler,Long distance migrant,2
2015,Cerulean Warbler,Long distance migrant,0
2015,Yellow-breasted Chat,Long distance migrant,0
2015,Chestnut-sided Warbler,Long distance migrant,4
2015,Connecticut Warbler,Long distance migrant,1
2015,Golden-winged Warbler,Long distance migrant,1
2015,Hooded Warbler,Long distance migrant,1
2015,Kentucky Warbler,Long distance migrant,2
2015,Magnolia Warbler,Long distance migrant,14
2015,Mourning Warbler,Long distance migrant,1
2015,Nashville Warbler,Long distance migrant,3
2015,Orange-crowned Warbler,Long distance migrant,0
2015,Ovenbird,Long distance migrant,31
2015,Western Palm Warbler,Long distance migrant,1
2015,Northern Parula,Long distance migrant,3
2015,Pine Warbler,Short distance migrant,0
2015,Prairie Warbler,Long distance migrant,1
2015,Prothonotary Warbler,Short distance migrant,3
2015,American Redstart,Long distance migrant,13
2015,Tennessee Warbler,Long distance migrant,38
2015,Wilson's Warbler,Long distance migrant,3
2015,Worm-eating Warbler,Long distance migrant,0
2015,Myrtle Warbler,Short distance migrant,41
2015,Yellow-throated Warbler,Short distance migrant,0
2015,Common Yellowthroat,Short distance migrant,7
2015,Scarlet Tanager,Long distance migrant,1
2015,Summer Tanager,Long distance migrant,0
2015,Eastern Towhee,Short distance migrant,6
2015,Chipping Sparrow,Short distance migrant,1
2015,Field Sparrow,Short distance migrant,8
2015,Savannah Sparrow,Short distance migrant,0
2015,Northern Cardinal,Resident,43
2015,White-crowned Sparrow,Short distance migrant,3
2015,White-throated Sparrow,Short distance migrant,85
2015,Slate-colored Junco,Short distance migrant,6
2015,Baltimore Oriole,Long distance migrant,7
2015,Orchard Oriole,Long distance migrant,7
2016,Red-bellied Woodpecker,Resident,3
2016,Downy Woodpecker,Resident,1
2016,Hairy Woodpecker,Resident,5
2016,Yellow-shafted Flicker,Resident,0
2016,Pileated Woodpecker,Resident,1
2016,Blue-headed Vireo,Short distance migrant,6
2016,Philadelphia Vireo,Short distance migrant,3
2016,Red-eyed Vireo,Long distance migrant,2
2016,Warbling Vireo,Short distance migrant,1
2016,White-eyed Vireo,Short distance migrant,5
2016,Yellow-throated Vireo,Short distance migrant,0
2016,Carolina Chickadee,Resident,13
2016,Tufted Titmouse,Resident,6
2016,White-breasted Nuthatch,Resident,0
2016,Carolina Wren,Resident,0
2016,Golden-crowned Kinglet,Short distance migrant,8
2016,Ruby-crowned Kinglet,Short distance migrant,18
2016,Blue-gray Gnatcatcher,Short distance migrant,3
2016,Gray-cheeked Thrush,Long distance migrant,0
2016,Hermit Thrush,Short distance migrant,3
2016,Swainson's Thrush,Long distance migrant,7
2016,Wood Thrush,Long distance migrant,20
2016,Bay-breasted Warbler,Long distance migrant,13
2016,Black-and-white Warbler,Short distance migrant,3
2016,Blackburnian Warbler,Long distance migrant,0
2016,Blackpoll Warbler,Long distance migrant,2
2016,Black-throated Blue Warbler,Long distance migrant,1
2016,Black-throated Green Warbler,Long distance migrant,1
2016,Blue-winged Warbler,Long distance migrant,0
2016,Canada Warbler,Long distance migrant,3
2016,Cape May Warbler,Long distance migrant,0
2016,Cerulean Warbler,Long distance migrant,0
2016,Yellow-breasted Chat,Long distance migrant,0
2016,Chestnut-sided Warbler,Long distance migrant,0
2016,Connecticut Warbler,Long distance migrant,0
2016,Golden-winged Warbler,Long distance migrant,0
2016,Hooded Warbler,Long distance migrant,0
2016,Kentucky Warbler,Long distance migrant,1
2016,Magnolia Warbler,Long distance migrant,17
2016,Mourning Warbler,Long distance migrant,3
2016,Nashville Warbler,Long distance migrant,2
2016,Orange-crowned Warbler,Long distance migrant,0
2016,Ovenbird,Long distance migrant,34
2016,Western Palm Warbler,Long distance migrant,3
2016,Northern Parula,Long distance migrant,0
2016,Pine Warbler,Short distance migrant,0
2016,Prairie Warbler,Long distance migrant,3
2016,Prothonotary Warbler,Short distance migrant,0
2016,American Redstart,Long distance migrant,10
2016,Tennessee Warbler,Long distance migrant,12
2016,Wilson's Warbler,Long distance migrant,5
2016,Worm-eating Warbler,Long distance migrant,0
2016,Myrtle Warbler,Short distance migrant,49
2016,Yellow-throated Warbler,Short distance migrant,0
2016,Common Yellowthroat,Short distance migrant,7
2016,Scarlet Tanager,Long distance migrant,0
2016,Summer Tanager,Long distance migrant,1
2016,Eastern Towhee,Short distance migrant,6
2016,Chipping Sparrow,Short distance migrant,2
2016,Field Sparrow,Short distance migrant,11
2016,Savannah Sparrow,Short distance migrant,0
2016,Northern Cardinal,Resident,47
2016,White-crowned Sparrow,Short distance migrant,0
2016,White-throated Sparrow,Short distance migrant,51
2016,Slate-colored Junco,Short distance migrant,6
2016,Baltimore Oriole,Long distance migrant,10
2016,Orchard Oriole,Long distance migrant,4
2017,Red-bellied Woodpecker,Resident,0
2017,Downy Woodpecker,Resident,1
2017,Hairy Woodpecker,Resident,0
2017,Yellow-shafted Flicker,Resident,2
2017,Pileated Woodpecker,Resident,0
2017,Blue-headed Vireo,Short distance migrant,0
2017,Philadelphia Vireo,Short distance migrant,1
2017,Red-eyed Vireo,Long distance migrant,1
2017,Warbling Vireo,Short distance migrant,2
2017,White-eyed Vireo,Short distance migrant,3
2017,Yellow-throated Vireo,Short distance migrant,0
2017,Carolina Chickadee,Resident,7
2017,Tufted Titmouse,Resident,8
2017,White-breasted Nuthatch,Resident,0
2017,Carolina Wren,Resident,11
2017,Golden-crowned Kinglet,Short distance migrant,0
2017,Ruby-crowned Kinglet,Short distance migrant,6
2017,Blue-gray Gnatcatcher,Short distance migrant,1
2017,Gray-cheeked Thrush,Long distance migrant,8
2017,Hermit Thrush,Short distance migrant,5
2017,Swainson's Thrush,Long distance migrant,24
2017,Wood Thrush,Long distance migrant,6
2017,Bay-breasted Warbler,Long distance migrant,0
2017,Black-and-white Warbler,Short distance migrant,0
2017,Blackburnian Warbler,Long distance migrant,0
2017,Blackpoll Warbler,Long distance migrant,1
2017,Black-throated Blue Warbler,Long distance migrant,1
2017,Black-throated Green Warbler,Long distance migrant,0
2017,Blue-winged Warbler,Long distance migrant,0
2017,Canada Warbler,Long distance migrant,1
2017,Cape May Warbler,Long distance migrant,0
2017,Cerulean Warbler,Long distance migrant,0
2017,Yellow-breasted Chat,Long distance migrant,0
2017,Chestnut-sided Warbler,Long distance migrant,1
2017,Connecticut Warbler,Long distance migrant,0
2017,Golden-winged Warbler,Long distance migrant,0
2017,Hooded Warbler,Long distance migrant,0
2017,Kentucky Warbler,Long distance migrant,1
2017,Magnolia Warbler,Long distance migrant,5
2017,Mourning Warbler,Long distance migrant,0
2017,Nashville Warbler,Long distance migrant,1
2017,Orange-crowned Warbler,Long distance migrant,0
2017,Ovenbird,Long distance migrant,8
2017,Western Palm Warbler,Long distance migrant,7
2017,Northern Parula,Long distance migrant,0
2017,Pine Warbler,Short distance migrant,0
2017,Prairie Warbler,Long distance migrant,0
2017,Prothonotary Warbler,Short distance migrant,0
2017,American Redstart,Long distance migrant,4
2017,Tennessee Warbler,Long distance migrant,0
2017,Wilson's Warbler,Long distance migrant,0
2017,Worm-eating Warbler,Long distance migrant,0
2017,Myrtle Warbler,Short distance migrant,11
2017,Yellow-throated Warbler,Short distance migrant,0
2017,Common Yellowthroat,Short distance migrant,6
2017,Scarlet Tanager,Long distance migrant,0
2017,Summer Tanager,Long distance migrant,0
2017,Eastern Towhee,Short distance migrant,2
2017,Chipping Sparrow,Short distance migrant,4
2017,Field Sparrow,Short distance migrant,1
2017,Savannah Sparrow,Short distance migrant,0
2017,Northern Cardinal,Resident,40
2017,White-crowned Sparrow,Short distance migrant,1
2017,White-throated Sparrow,Short distance migrant,37
2017,Slate-colored Junco,Short distance migrant,0
2017,Baltimore Oriole,Long distance migrant,2
2017,Orchard Oriole,Long distance migrant,2
2018,Red-bellied Woodpecker,Resident,2
2018,Downy Woodpecker,Resident,4
2018,Hairy Woodpecker,Resident,3
2018,Yellow-shafted Flicker,Resident,5
2018,Pileated Woodpecker,Resident,0
2018,Blue-headed Vireo,Short distance migrant,4
2018,Philadelphia Vireo,Short distance migrant,0
2018,Red-eyed Vireo,Long distance migrant,2
2018,Warbling Vireo,Short distance migrant,3
2018,White-eyed Vireo,Short distance migrant,1
2018,Yellow-throated Vireo,Short distance migrant,0
2018,Carolina Chickadee,Resident,15
2018,Tufted Titmouse,Resident,30
2018,White-breasted Nuthatch,Resident,1
2018,Carolina Wren,Resident,8
2018,Golden-crowned Kinglet,Short distance migrant,4
2018,Ruby-crowned Kinglet,Short distance migrant,26
2018,Blue-gray Gnatcatcher,Short distance migrant,1
2018,Gray-cheeked Thrush,Long distance migrant,6
2018,Hermit Thrush,Short distance migrant,10
2018,Swainson's Thrush,Long distance migrant,83
2018,Wood Thrush,Long distance migrant,18
2018,Bay-breasted Warbler,Long distance migrant,22
2018,Black-and-white Warbler,Short distance migrant,5
2018,Blackburnian Warbler,Long distance migrant,1
2018,Blackpoll Warbler,Long distance migrant,2
2018,Black-throated Blue Warbler,Long distance migrant,1
2018,Black-throated Green Warbler,Long distance migrant,3
2018,Blue-winged Warbler,Long distance migrant,0
2018,Canada Warbler,Long distance migrant,5
2018,Cape May Warbler,Long distance migrant,0
2018,Cerulean Warbler,Long distance migrant,0
2018,Yellow-breasted Chat,Long distance migrant,1
2018,Chestnut-sided Warbler,Long distance migrant,1
2018,Connecticut Warbler,Long distance migrant,0
2018,Golden-winged Warbler,Long distance migrant,0
2018,Hooded Warbler,Long distance migrant,0
2018,Kentucky Warbler,Long distance migrant,1
2018,Magnolia Warbler,Long distance migrant,22
2018,Mourning Warbler,Long distance migrant,3
2018,Nashville Warbler,Long distance migrant,8
2018,Orange-crowned Warbler,Long distance migrant,1
2018,Ovenbird,Long distance migrant,9
2018,Western Palm Warbler,Long distance migrant,2
2018,Northern Parula,Long distance migrant,3
2018,Pine Warbler,Short distance migrant,0
2018,Prairie Warbler,Long distance migrant,0
2018,Prothonotary Warbler,Short distance migrant,1
2018,American Redstart,Long distance migrant,6
2018,Tennessee Warbler,Long distance migrant,27
2018,Wilson's Warbler,Long distance migrant,2
2018,Worm-eating Warbler,Long distance migrant,0
2018,Myrtle Warbler,Short distance migrant,15
2018,Yellow-throated Warbler,Short distance migrant,0
2018,Common Yellowthroat,Short distance migrant,5
2018,Scarlet Tanager,Long distance migrant,0
2018,Summer Tanager,Long distance migrant,0
2018,Eastern Towhee,Short distance migrant,9
2018,Chipping Sparrow,Short distance migrant,0
2018,Field Sparrow,Short distance migrant,1
2018,Savannah Sparrow,Short distance migrant,1
2018,Northern Cardinal,Resident,55
2018,White-crowned Sparrow,Short distance migrant,0
2018,White-throated Sparrow,Short distance migrant,33
2018,Slate-colored Junco,Short distance migrant,8
2018,Baltimore Oriole,Long distance migrant,3
2018,Orchard Oriole,Long distance migrant,1
